Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Alfa Ica India Ltd,ALFAICA,Home Furnishing,14.89,38.65,9.13,9.67,NULL,80.44,2.19,0.56,0,0,0,0,NULL,0,NULL
Neil Industries Ltd,NEIL,Diversified Financials,14.85,7.75,-5.32,-26.85,NULL,2.96,-2.07,0.72,0,0,0,0,NULL,0,NULL
Spentex Industries Ltd,SPENTEX,Textiles,14.8,1.7,-0.41,-23.82,NULL,297.49,-36.37,0,0,0,0,0,NULL,0,NULL
Usha Martin Education And Solutions Ltd,UMESLTD,Education Services,14.78,5.85,246.41,-11.2,NULL,0.9,0.06,0,-0.6,0,0,0.2,NULL,0,NULL
Manraj Housing Finance Ltd,MANRAJH,NULL,14.75,29.5,-86.76,-20.47,NULL,0.07,-0.17,0,0,0,0,0,NULL,0,NULL
Gautam Exim Ltd,GEL,Paper Products,14.74,47.85,14.89,3.9,NULL,379.53,1.36,0.37,0,0,0,0,NULL,0,NULL
Techindia Nirman Ltd,TECHIN,Real Estate,14.68,10.25,-27.69,NULL,NULL,0,-0.53,0,0.01,0.01,0,0,NULL,0,NULL
DCM Financial Services Ltd,DCMFINSERV,Consumer Finance,14.59,6.6,31.05,-6.47,NULL,3.55,0.87,0.4,0,0,0,0,NULL,0,NULL
Inducto Steels Ltd,INDCTST,Metals - Diversified,14.57,35,6.45,16.07,NULL,57.69,2.56,0.3,0,0,0,0,NULL,0,NULL
Opal Luxury Time Products Ltd,OPAL,"Precious Metals, Jewellery & Watches",14.46,43,-0.93,-34.25,NULL,3.1,-15.58,0,NULL,NULL,NULL,NULL,NULL,0,NULL
CIL Securities Ltd,CILSEC,NULL,14.44,30.45,6.39,-2.33,NULL,8.3,2.9,0.64,0,0,0,0,NULL,0,NULL
Kandarp Digi Smart Bpo Ltd,KANDARP,Outsourced services,14.44,16.6,15.53,NULL,NULL,12.87,1.25,0.32,NULL,NULL,NULL,NULL,NULL,0,NULL
Shirpur Gold Refinery Ltd,SHIRPUR-G,"Precious Metals, Jewellery & Watches",14.42,4.95,-0.15,1.26,NULL,5275.87,-96.16,0,0,0.43,0,0,NULL,0,NULL
Shantidoot Infra Services Ltd,SISL,NULL,14.41,80.2,10.29,NULL,NULL,7.62,1.91,0.51,0,0,0,-27.53,NULL,0,NULL
C J Gelatine Products Ltd,CJGEL,Specialty Chemicals,14.38,28.65,42.31,18.87,NULL,39.71,0.4,0.06,0,0,0,0,NULL,0,NULL
Ecs Biztech Ltd,ECS,NULL,14.38,6.65,62.52,-38.11,NULL,1.76,0,-0.23,0,0,0,0.48,NULL,0,NULL
Mirae Asset Hang Seng TECH ETF,MAHKTECH,Equity,14.35,13.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Kkalpana Plastick Limited,KKPLASTICK,Plastic Products,14.34,27.24,-204.84,0.89,NULL,0.46,-0.06,0.01,0,0,0,0,NULL,0,NULL
Gujarat Investa Ltd,GUJINV,Diversified Financials,14.34,19.1,358.4,18.47,NULL,0.35,0.05,0.01,0,0,0,0,NULL,0,NULL
SP Refractories Ltd,SPRL,Cement,14.32,80,14.61,NULL,NULL,31.52,1.36,0.38,NULL,NULL,NULL,NULL,NULL,0,NULL
Indo Asia Finance Ltd,INDOASIAF,Diversified Financials,14.3,9.52,-1.6,37.75,NULL,3.62,-8.93,0,0,0,0,4,NULL,0,NULL
Inter Globe Finance Ltd,INTRGLB,Investment Banking & Brokerage,14.28,20.85,-9.22,-23.18,NULL,21.06,-0.71,0.84,0,0,0,0,NULL,0,NULL
Healthy Life Agritec Ltd,HEALTHYLIFE,NULL,14.28,6.49,17.41,NULL,NULL,33.96,1.12,0.3,0,0,0,-45.43,NULL,0,NULL
Oasis Securities Ltd,OASISEC,Diversified Financials,14.24,79.25,6.19,-24.72,NULL,11.2,3.1,0.8,0,0,0,0,NULL,0,NULL
Ras Resorts and Apart Hotels Ltd,RASRESOR,"Hotels, Resorts & Cruise Lines",14.23,34.1,83.71,-1.64,NULL,8.03,0.14,-0.03,0,0,0,0,NULL,0,NULL
Easy Fincorp Ltd,EASYFIN,Consumer Finance,14.21,579.8,-101.47,-2.33,NULL,0.08,-0.05,0.09,0,-1.16,0,4.98,NULL,0,NULL
Earum Pharmaceuticals Ltd,EARUM,Pharmaceuticals,14.18,2.35,6.39,3.94,NULL,28.74,3.08,0.86,0,0,0,-37.57,NULL,0,NULL
Athena Constructions Ltd,ATHCON,Real Estate,14.18,18.9,28.35,13.84,NULL,1.09,0.5,0,NULL,NULL,NULL,NULL,NULL,0,NULL
Pecos Hotels and Pubs Ltd,PECOS,NULL,14.15,108.75,-128.61,-10.73,NULL,3.18,-0.12,-0.01,NULL,NULL,NULL,NULL,NULL,0,NULL
Siel Financial Services Ltd,SIELFNS,Specialized Finance,14.14,12.25,-32.88,-51.16,NULL,0.02,-0.43,0,0,0,0,0,NULL,0,NULL
Emmessar Biotech and Nutrition Ltd,EMMESSA,NULL,14.13,27.45,30.07,-8.68,NULL,2.28,0.93,0.46,0,0,0,0,NULL,0,NULL
RAP Media Ltd,RAP,Real Estate,14.11,24,-15.02,-26.3,NULL,0.05,-0.94,0,0,0,0,0,NULL,0,NULL
Southern Magnesium and Chemicals Ltd,SOUTHMG,Mining - Manganese,14.11,47.05,36.17,-17.92,NULL,2.38,0.5,0.11,0,0,0,0,NULL,0,NULL
Citizen Infoline Ltd,CIL,Online Services,14.03,27.3,-200.36,-21.41,NULL,1.16,-0.07,0,0,0,0,0,NULL,0,NULL
Octaware Technologies Ltd,OCTAWARE,Software Services,14,39,23.72,16.53,NULL,17.21,0.67,0.08,NULL,NULL,NULL,NULL,NULL,0,NULL
Rajasthan Cylinders and Containers Ltd,RCCL,Oil & Gas - Storage & Transportation,13.98,40.65,3.49,-22.13,NULL,22.4,4.33,0.33,0,0,0,0,NULL,0,NULL
Supreme (India) Impex Ltd,SIIL,Textiles,13.95,28.55,-69.77,-0.04,NULL,279.65,-0.25,-0.05,NULL,NULL,NULL,NULL,NULL,0,NULL
Shree Metalloys Ltd,SHREMETAL,Metals - Copper,13.92,27,55.69,2.01,NULL,48.86,0.38,0.13,0,0,0,0,NULL,0,NULL
Genesis IBRC India Ltd,GENESIS,NULL,13.91,10.7,-115.92,NULL,NULL,0,-0.12,0,0,0,0,0,NULL,0,NULL
Mena Mani Industries Ltd,MENAMANI,NULL,13.89,14.35,11.97,10.8,NULL,26.83,1.45,0.29,0,0,0,0,NULL,0,NULL
Vapi Enterprise Ltd,VAPIPPR,NULL,13.86,60.8,53.32,-3.41,NULL,2.59,0.39,0.13,0,0,0,0,NULL,0,NULL
Humming Bird Education Ltd,HBEL,NULL,13.85,237.3,-37.42,-3.42,NULL,0.79,-0.37,0,0,0,0,-25.12,NULL,0,NULL
S & S Power Switchgear Ltd,S&SPOWER,Electrical Components & Equipments,13.82,22.3,-1.05,4.6,NULL,111.52,-15.44,-2.32,1.7,0,0,0,NULL,0,NULL
ICICI Prudential NV20 ETF,ICICINV20,Equity,13.8,101.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Sterling Greenwoods Ltd,STRGRENWO,Real Estate,13.79,31,-18.15,-13.39,NULL,2.92,-0.95,-0.19,0,0,0,0,NULL,0,NULL
Taaza International Ltd,TAAZAINT,NULL,13.78,19.95,-81.08,NULL,NULL,0,-0.21,-0.04,0,0,0,0,NULL,0,NULL
MY Money Securities Ltd,MYMONEY,Investment Banking & Brokerage,13.77,9.56,14.65,1.42,NULL,2.06,1.01,0.07,0,0,0,0,NULL,0,NULL
Omfurn India Ltd,OMFURN,Home Furnishing,13.76,20.2,19.94,0.69,NULL,32.3,0.76,0.07,NULL,NULL,NULL,NULL,NULL,0,NULL
Gujarat Terce Laboratories Ltd,GUJTERC,Pharmaceuticals,13.76,20.4,15.81,9.46,NULL,40.44,0.74,-0.13,0,0,0,0,NULL,0,NULL
Sumeru Industries Ltd,SUMERUIND,NULL,13.74,1.95,1374.44,-48.14,NULL,0.29,0.01,0,0,0,0,0,NULL,0,NULL
Sanblue Corporation Ltd,SANBLUE,Commodities Trading,13.74,28.5,171.77,-2.33,NULL,1.6,0.08,0,0,0,0,0,NULL,0,NULL
Misquita Engineering Ltd,MISQUITA,NULL,13.74,51,32.71,8.51,NULL,8.68,0.57,0.15,NULL,NULL,NULL,NULL,NULL,0,NULL
Samyak International Ltd,SAMYAKINT,NULL,13.71,23,23.23,2.48,NULL,46.67,0.62,0.03,0,0,0,0,NULL,0,NULL
Muller and Phipps (India) Ltd,MULLER,FMCG - Personal Products,13.69,219,31.11,1.61,NULL,4.05,0.44,0,0,0,0,0,NULL,0,NULL
Tranway Technologies Ltd,TRANWAY,NULL,13.67,12.9,13.4,26.28,NULL,10.02,1.3,0.28,0,0,0,0,NULL,0,NULL
Kachchh Minerals Ltd,KACHCHH,Mining - Diversified,13.67,27.05,85.43,16.3,NULL,1.17,0.16,0,0,0,0,0,NULL,0,NULL
SRU Steels Ltd,SRUSTEELS,Iron & Steel,13.67,17.1,62.12,62.7,NULL,15.05,0.3,0.08,0,0,0,0,NULL,0,NULL
MPDLLtd,MPDL,NULL,13.63,19.2,-5.43,31.43,NULL,13.92,-2.51,0,-0.4,0,0,0,NULL,0,NULL
Saianand Commercial Ltd,SAICOM,NULL,13.62,0.63,1362.45,-13.99,NULL,0.24,0.01,0,0,0,0,0,NULL,0,NULL
Kore Foods Ltd,KORE,FMCG - Foods,13.58,12.02,5.83,29.47,NULL,2.91,2.33,0,0,0,0,0,NULL,0,NULL
Apis India Ltd,APIS,NULL,13.53,24.55,1.76,12.59,NULL,295.97,8.78,1.1,0,0,0,0,NULL,0,NULL
Sathavahana Ispat Ltd,SATHAISPAT,Iron & Steel,13.48,2.65,-0.11,-47.65,NULL,43.54,-122.67,0,0,-5.5,0,0,NULL,0,NULL
Interstate Oil Carrier Ltd,INTSTOIL,Logistics,13.45,25.5,4.94,17.49,NULL,47.75,3.29,0.57,0.45,0,0,-0.09,NULL,0,NULL
Nam Securities Ltd,NAM,Investment Banking & Brokerage,13.45,23.9,29.88,111.14,NULL,86.45,0.6,0.15,0,0,0,0,NULL,0,NULL
Sawaca Business Machines Ltd,SAWABUSI,Commodities Trading,13.38,1.18,34.3,10.39,NULL,3.82,0.56,0.17,0,0,0,0,NULL,0,NULL
Trishakti Electronics and Industries Ltd,TRISHAKT,Oil & Gas - Equipment & Services,13.36,44.5,26.72,73.65,NULL,27.79,0.6,0.1,0,0,0,0,NULL,0,NULL
Sri Lakshmi Saraswathi Textiles (Arni) Ltd,SLSTLQ,Textiles,13.34,39.05,3.05,9.38,NULL,150.26,4.37,0,0,0,0,0,NULL,0,NULL
Getalong Enterprise Ltd,GETALONG,NULL,13.34,72.95,9.07,NULL,NULL,114.74,1.99,0.52,NULL,NULL,NULL,NULL,NULL,0,NULL
Southern Latex Ltd,SOUTLAT,NULL,13.31,18.1,70.07,0.85,NULL,0.48,0.24,0.05,0,0,0,0.46,NULL,0,NULL
Parmax Pharma Ltd,PARMAX,NULL,13.31,35.9,110.93,213.98,NULL,18.31,0.29,0.17,0,0,0,0,NULL,0,NULL
Yashraj Containeurs Ltd,YASHRAJC,NULL,13.29,7.82,3.2,18.65,NULL,22.69,2.33,-1.82,0,0,0,0,NULL,0,NULL
Parenteral Drugs (India) Ltd,PDPL,Pharmaceuticals,13.27,4.45,-0.17,-23.54,NULL,60.78,-109.13,-32.76,0,0,0,0.01,NULL,0,NULL
Uniroyal Industries Ltd,UNIROYAL,NULL,13.22,15.65,6.15,13.26,NULL,99.28,2.55,0.4,0,0,0,0,NULL,0,NULL
Conart Engineers Ltd,CONART,NULL,13.21,42.1,10.24,12.03,NULL,37.03,1.74,0.45,0,0,0,0,NULL,0,NULL
Kiduja India Ltd,KIDUJA,Investment Banking & Brokerage,13.2,77,-2.93,NULL,NULL,0,-4.51,0,0,0,0,0,NULL,0,NULL
Jindal Leasefin Ltd,JLL,Investment Banking & Brokerage,13.19,43.5,62.79,23.36,NULL,0.2,0.1,-0.11,0,0,0,-1.59,NULL,0,NULL
Tijaria Polypipes Ltd,TIJARIA,Building Products - Pipes,13.16,4.6,-0.61,-2.98,NULL,55.07,-21.71,0,26.94,0.01,0,-29.96,NULL,0,NULL
KJMC Financial Services Ltd,KJMCFIN,NULL,13.15,27.5,-25.79,4.79,NULL,3.79,-0.18,0.33,0,0,0,0,NULL,0,NULL
Madhuveer Com 18 Network Ltd,MADHUVEER,Movies & TV Serials,13.14,13.18,73.01,14.19,NULL,0.33,0.21,0.03,0,0,0,0,NULL,0,NULL
Prima Agro Ltd,PRIMAGR,Agro Products,13.14,25.25,5.15,7.93,NULL,17.91,3.96,1.41,0,0,0,0.05,NULL,0,NULL
ICICI Prudential Consumption ETF,ICICICONSU,Equity,13.1,79.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Ramasigns Industries Ltd,RAMASIGNS,Stationery,13.1,4.71,130.97,-22.02,NULL,36.57,0.11,0.01,0,0,0,-2.76,NULL,0,NULL
Glance Finance Ltd,GLANCE,NULL,13.08,56.65,6.2,-3.26,NULL,7.94,3.01,0.9,0,0,0,0,NULL,0,NULL
Norris Medicines Ltd,NORRIS,Pharmaceuticals,13.06,13.48,-4.01,-14.4,NULL,9.47,-2.18,1.08,0,0,0,0,NULL,0,NULL
Prabhat Dairy Ltd,PRABHAT,FMCG - Foods,13.06,99.6,-8.91,-10,NULL,592.97,-86.8,22.37,0.15,-2.33,-0.27,0,NULL,0,NULL
Harish Textile Engineers Ltd,HARISH,Industrial Machinery,13,39.7,26.54,20.72,NULL,107.32,0.67,0.18,0,0,0,0,NULL,0,NULL
Frontline corporation Ltd,FRONTCORP,NULL,12.99,25.2,8.9,7.08,NULL,75.26,1.85,0.39,0,0,0,0,NULL,0,NULL
MPIL Corporation Ltd,MPILCORPL,NULL,12.92,226,15.2,22.42,NULL,2.31,1,0.15,0,0,0,0,NULL,0,NULL
Jetmall Spices and Masala Ltd,JETMALL,NULL,12.91,21.9,1290.76,-41.07,NULL,3.18,-0.03,-0.04,NULL,NULL,NULL,NULL,NULL,0,NULL
Tulasee Bio-Ethanol Ltd,TULASEEBIOE,NULL,12.88,21,-91.97,NULL,NULL,0,-0.14,0,0,0,0,0,NULL,0,NULL
Sungold Media and Entertainment Ltd,SMEL,Advertising,12.88,25.75,643.75,-0.68,NULL,0.58,0.02,0,NULL,NULL,NULL,NULL,NULL,0,NULL
Veerhealth Care Ltd,VEERHEALTH,Pharmaceuticals,12.86,18,-214.27,33.75,NULL,11.3,0.25,0.31,0,0,0,0.04,NULL,0,NULL
The Cochin Malabar Estates and Industries Ltd,COCHMAL,NULL,12.84,76.1,-21.76,NULL,NULL,0,-0.59,0,0,0,0,0,NULL,0,NULL
Palm Jewels Limited,PALMJEWELS,NULL,12.83,12.51,49.33,83.19,NULL,113.87,0.36,0.1,0,0,0,-6.33,NULL,0,NULL
ABC Gas (International) Ltd,ABCGAS,Metals - Copper,12.82,62.8,49.32,-4.47,NULL,3.39,0.26,0,0,0,0,-1.86,NULL,0,NULL
Amrapali Capital and Finance Services Ltd,ACFSL,Investment Banking & Brokerage,12.82,13.11,45.78,-16.04,NULL,24.54,0.45,0.17,NULL,NULL,NULL,NULL,NULL,0,NULL
Madhusudan Securities Ltd,MADHUSE,Investment Banking & Brokerage,12.82,14.15,-128.19,-51.56,NULL,0.02,-0.1,0,0,0,0,0,NULL,0,NULL
DSP Nifty 50 ETF,DSPN50ETF,Equity,12.8,187.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
HDFC Nifty Private Bank ETF,HDFCPVTBAN,Equity,12.78,217.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Surya India Ltd,SURYAINDIA,Real Estate,12.75,18.25,-51,-3.06,NULL,3.81,-0.04,0.21,0,0,0,0,NULL,0,NULL
Abhishek Finlease Ltd,ABHIFIN,Consumer Finance,12.75,29.9,98.07,8.31,NULL,0.76,0.17,0.04,0,0,0,0,NULL,0,NULL
Colinz Laboratories Ltd,COLINZ,Pharmaceuticals,12.71,49.4,38.53,-2.59,NULL,7.14,0.47,0.14,0,0,0,-0.08,NULL,0,NULL
Bil Energy Systems Ltd,BILENERGY,Industrial Machinery,12.68,0.6,-0.2,-72.57,NULL,0.05,-63.23,0,0,0,0,0,NULL,0,NULL
Aditya BSL Sensex ETF,BSLSENETFG,Equity,12.67,60.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Alan Scott Industriess Ltd,ALAN SCOTT,Movies & TV Serials,12.65,65.9,-180.74,76.98,NULL,1.91,-0.07,0,-8.9,0,0,0,NULL,0,NULL
Roopshri Resorts Ltd,ROOPSHRI,NULL,12.63,21.65,-90.25,NULL,NULL,0.47,-0.14,0,0,0,0,1.64,NULL,0,NULL
Narendra Properties Ltd,NARPROP,NULL,12.61,17.75,-5.17,NULL,NULL,0,-2.44,0,0,0,0,0,NULL,0,NULL
Advance Syntex Ltd,ASYL,Commodity Chemicals,12.6,11.24,-3.04,-15.27,NULL,29.18,-5.21,-1.06,0,0,0,0,NULL,0,NULL
Nippon India ETF Long Term Gilt,LTGILTBEES,Debt,12.59,22.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Visagar Financial Services Ltd,VISAGAR,Diversified Financials,12.57,1.31,54.67,9.78,NULL,16.82,0.23,0,0,0,0,0,NULL,0,NULL
S V Trading and Agencies Ltd,ZSVTRADI,Investment Banking & Brokerage,12.57,7.35,21.3,-29.34,NULL,0.99,0.8,0.21,0,0,0,0,NULL,0,NULL
Paragon Finance Ltd,PARAGONF,Consumer Finance,12.54,29.5,18.71,-12.39,NULL,3.05,0.88,0.21,0,0,0,0,NULL,0,NULL
ACI Infocom Ltd,ACIIN,IT Services & Consulting,12.48,1.1,311.96,-46.87,NULL,0.62,0.06,0.02,0,0,0,0,NULL,0,NULL
Quantum Digital Vision (India) Ltd,QUANTDIA,Construction & Engineering,12.44,41,82.91,16.95,NULL,0.35,0.15,0,0,0,0,0,NULL,0,NULL
Dr Lalchandani Labs Ltd,DLCL,Hospitals & Diagnostic Centres,12.43,28.7,13.51,19.6,NULL,11.28,1.28,0.36,NULL,NULL,NULL,NULL,NULL,0,NULL
KOBO Biotech Ltd,KOBO,NULL,12.41,4.95,-0.82,-68.04,NULL,0.02,-15.22,0,0,0,0,0,NULL,0,NULL
Antarctica Ltd,ANTGRAPHIC,Packaging,12.39,0.75,619.7,-14.81,NULL,1.05,0.02,0,0,0,0,-3.42,NULL,0,NULL
VCU Data Management Ltd,VCU,Electronic Equipments,12.39,7.84,5.19,-14.59,NULL,3.99,3.19,0.8,0,0,0,0,NULL,0,NULL
Arihant Tournesol Ltd,ARHNTTO,Agro Products,12.38,13.13,-61.88,NULL,NULL,0,-0.2,0,0,0,0,0,NULL,0,NULL
BKV Industries Ltd,BKV,Packaged Foods & Meats,12.31,7.92,76.91,18.03,NULL,0.71,0.16,0,-0.16,0.03,0,0,NULL,0,NULL
AVI Products India Ltd,APIL,Commodities Trading,12.3,49.95,94.58,8.9,NULL,3.37,0.17,0.04,0,0,0,0,NULL,0,NULL
Sturdy Industries Ltd,STURDY,Agricultural & Farm Machinery,12.24,0.85,3.41,-45.11,NULL,20.42,-4.86,-8.45,-2.93,0,0,0,NULL,0,NULL
Maitri Enterprises Ltd,MAITRI,Pharmaceuticals,12.23,27.8,53.15,93.65,NULL,20.15,0.34,0.11,0,0,0,0,NULL,0,NULL
CMM Infraprojects Ltd,CMMIPL,Construction & Engineering,12.22,8.15,23.05,-22.59,NULL,56.95,0.47,-0.06,NULL,NULL,NULL,NULL,NULL,0,NULL
Quantum Nifty ETF,QNIFTY,Equity,12.21,1971.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Valencia Nutrition Ltd,VALENCIA,NULL,12.18,21.8,-18.17,NULL,NULL,0,-0.67,0,0,0,0,0,NULL,0,NULL
Maagh Advertising & Marketing Services Ltd,MAAGHADV,NULL,12.13,36,22.89,NULL,NULL,21.8,0.75,0.22,NULL,NULL,NULL,NULL,NULL,0,NULL
Motilal Oswal S&P BSE Low Volatility ETF,MOLOWVOL,Equity,12.12,25.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Ajwa Fun World and Resort Ltd,AJWAFUN,Theme Parks & Gaming,12.1,18.95,-10.43,-31.53,NULL,0.56,-1.16,0,0,0,0,0,NULL,0,NULL
Franklin Leasing and Finance Ltd,FRANKLIN,Diversified Financials,12.07,7.65,54.88,24.9,NULL,12.98,0.3,0.08,0,0,0,0,NULL,0,NULL
Rishabh Digha Steel and Allied Products Ltd,RISHDIGA,Iron & Steel,12.06,20.9,-27.42,-33.55,NULL,0.32,-0.45,-0.01,0,0,0,0,NULL,0,NULL
Kaarya Facilities & Services Ltd,KAARYAFSL,NULL,12.06,12.9,402.06,13.74,NULL,20.31,0.03,0,0,0,0,0,NULL,0,NULL
Sprayking Agro Equipment Ltd,SPRAYKING,Agricultural & Farm Machinery,12.06,38,33.49,-2.52,NULL,16,0.48,0.12,NULL,NULL,NULL,NULL,NULL,0,NULL
Jointeca Education Solutions Ltd,JOINTECAED,Software Services,12.02,11.4,-10.54,-47.47,NULL,0.05,-1.12,0.02,NULL,NULL,NULL,NULL,NULL,0,NULL
Jayatma Enterprises Ltd,JAYATMA,Business Support Services,11.99,38.05,39.98,5.44,NULL,0.86,0.42,0.12,0,0,0,0,NULL,0,NULL
Premier Synthetics Ltd,PREMSYN,Textiles,11.98,26.1,4.77,43.85,NULL,59.08,2.59,0.08,0,0,0,0,NULL,0,NULL
Net Pix Shorts Digital Media Ltd,NETPIX,NULL,11.95,37.35,-51.97,NULL,NULL,0.48,-0.28,-0.05,0,0,0,0,NULL,0,NULL
Octal Credit Capital Ltd,OCTAL,Diversified Financials,11.95,24.75,4.78,56.81,NULL,2.37,2.67,0.17,0,0,0,0,NULL,0,NULL
Kalyani Commercials Ltd,KALYANI,Consumer Finance,11.93,119.3,5.21,-13.19,NULL,230.68,1.95,-0.34,0,0,0,0,NULL,0,NULL
Tokyo Finance Ltd,TOKYOFIN,NULL,11.91,17.1,595.62,-18.57,NULL,0.58,0.02,0,0,0,0,0.39,NULL,0,NULL
Kamanwala Housing Construction Ltd,KAMANWALA,NULL,11.9,8.64,108.2,-35.86,NULL,4.65,0.14,0.03,0,0,0,0,NULL,0,NULL
Cindrella Hotels Ltd,CINDHO,NULL,11.89,33,33.98,5.45,NULL,5.45,0.23,-0.12,0,0,0,0,NULL,0,NULL
Margo Finance Ltd,MARGOFIN,Diversified Financials,11.88,25.65,-23.75,-0.65,NULL,0.6,-0.15,0.35,0,0,0,0,NULL,0,NULL
Rapid Investments Ltd,RAPIDIN,Diversified Financials,11.86,90.55,395.4,44.27,NULL,0.5,0.03,0,0,0,0,0,NULL,0,NULL
Velox Industries Ltd,VELOXIND,NULL,11.75,14.73,-293.64,NULL,NULL,0,-0.04,0,0,0,0,25.3,NULL,0,NULL
Daikaffil Chemicals India Ltd,DAIKAFFI,Specialty Chemicals,11.69,20.05,-4.7,-20.39,NULL,8.63,-2.72,-0.23,0,0,0,-0.01,NULL,0,NULL
Netlink Solutions (India) Ltd,NETLINK,IT Services & Consulting,11.68,46.75,7.89,-12.13,NULL,2.95,1.72,0.24,0,0,0,0,NULL,0,NULL
Svaraj Trading and Agencies Ltd,ZSVARAJT,Commodities Trading,11.65,8.18,22.4,-25.34,NULL,1.03,0.7,0.18,0,0,0,0,NULL,0,NULL
Accord Synergy Ltd,ACCORD,Telecom Services,11.63,33.5,-1.96,-17.09,NULL,25.13,-5.97,-0.05,NULL,NULL,NULL,NULL,NULL,0,NULL
Peeti Securities Ltd,PEETISEC,Textiles,11.63,32.2,15.1,3.97,NULL,23.61,1,0.23,0,0,0,0,NULL,0,NULL
Gujchem Distillers India Ltd,GUJCMDS,Commodity Chemicals,11.58,75.1,29.68,32.51,NULL,1.43,0.32,-0.07,0.02,0,0,0,NULL,0,NULL
Supertex Industries Ltd,SUPERTEX,Textiles,11.56,12.24,96.35,-6.82,NULL,66.98,0.18,0.06,0,0,0,0.02,NULL,0,NULL
Kotak Nifty Alpha 50 ETF,KOTAKALPHA,Equity,11.56,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Svarnim Trade Udyog Ltd,SNIM,NULL,11.54,47.5,NULL,-64.49,NULL,0.05,0,0,0,0,0,0,NULL,0,NULL
Madhusudan Industries Ltd,MADHUDIN,NULL,11.52,21.4,4.61,-0.09,NULL,4.22,3.28,0.78,0,0,0,0,NULL,0,NULL
Supremex Shine Steels Ltd,SUPREMEX,NULL,11.51,3.72,-95.88,-18.61,NULL,0.05,-0.12,0,0,0,0,0,NULL,0,NULL
Sword-Edge Commercials Ltd,SWORDEDGE,NULL,11.51,0.55,-13.54,NULL,NULL,NULL,-0.85,0,0,0,0,0,NULL,0,NULL
Advance Petrochemicals Ltd,ADVPETR-B,Oil & Gas - Refining & Marketing,11.47,127.4,38.22,25.85,NULL,28.03,0.44,0.14,0,0,0,0,NULL,0,NULL
Tarai Foods Ltd,TARAI,Packaged Foods & Meats,11.45,6.5,-26.01,-0.9,NULL,2.81,-0.44,0,0,0,0,0,NULL,0,NULL
R J Shah and Company Ltd,RJSHAH,Construction & Engineering,11.44,408.4,20.8,-33.92,NULL,1.98,0.77,0.22,0,0,0,0,NULL,0,NULL
Lippi Systems Ltd,LIPPISYS,Industrial Machinery,11.44,16.45,13.46,-3.04,NULL,14.56,1.2,0.35,0,0,0,0,NULL,0,NULL
N D Metal Industries Ltd,NDMETAL,NULL,11.4,46,-1140.17,-31.73,NULL,0.94,0.02,0.03,0,0,0,0,NULL,0,NULL
UTL Industries Ltd,UTLINDS,Iron & Steel,11.4,3.39,-54.27,-52.4,NULL,0.15,-0.21,0,0,0,0,-0.41,NULL,0,NULL
Panafic Industrials Ltd,PANAFIC,Diversified Financials,11.38,1.34,9.25,11.84,NULL,2.17,1.48,0.25,0,0,0,-0.01,NULL,0,NULL
Cybele Industries Ltd,CYBELEIND,NULL,11.36,10.63,87.41,3.2,NULL,29.26,0.24,0.11,-2.5,0,0,0,NULL,0,NULL
Kush Industries Ltd,KUSHIND,Textiles,11.35,7.29,4.65,30.66,NULL,5.56,2.44,0,0,0,0,0,NULL,0,NULL
Yuvraaj Hygiene Products Ltd,YUVRAAJHPL,FMCG - Household Products,11.33,1.31,-7.92,9.17,NULL,20.07,-1.54,-0.11,0,0,0,0,NULL,0,NULL
Vitesse Agro Ltd,VITESSE,Agro Products,11.31,26.3,21.75,43.56,NULL,18.84,0.9,0.38,0,0,0,0,NULL,0,NULL
Kotak Nifty 100 Low Vol 30 ETF,KOTAKLOVOL,Equity,11.31,13.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
KMS Medisurgi Ltd,KMSMEDI,NULL,11.3,34.25,53.82,5.14,NULL,10.37,0.28,0.07,0,0,0,0,NULL,0,NULL
Muzali Arts Ltd,MUZALI,NULL,11.28,2.05,-6.2,NULL,NULL,13.04,-1.77,0.05,0,0,0,0,NULL,0,NULL
