Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Shubham Polyspin Ltd,SHUBHAM,Textiles,41.31,35.8,62.6,25.46,NULL,55.04,1.23,0.57,0,0,0,0,NULL,0,NULL
Vikas Proppant & Granite Ltd,VIKASPROP,Agro Products,41.15,0.8,-3.61,-27.31,NULL,23.6,-11.39,0,0,0,0,0,NULL,0,NULL
Max Heights Infrastructure Ltd,MAXHEIGHTS,Real Estate,41.14,27.68,-27.43,-31.36,NULL,6.42,-1.25,0.25,0,0,0,0,NULL,0,NULL
Manjeera Constructions Ltd,MANJEERA,Real Estate,41.03,34.4,-0.97,-12.91,NULL,103.64,-42.12,0.3,0,0,0,0,NULL,0,NULL
Sanjivani Paranteral Ltd,SANJIVIN,Pharmaceuticals,40.92,41.75,8.45,-2.78,NULL,30.85,4.87,0.03,0,0,0,0,NULL,0,NULL
D & H India Ltd,DHINDIA,Industrial Machinery,40.86,51.2,16.96,8.61,NULL,91.24,2.26,-0.15,0,0,0,0,NULL,0,NULL
Jet Knitwears Ltd,JETKNIT,Apparel & Accessories,40.81,92.6,35.18,-1.11,NULL,40.96,1.63,0.47,NULL,NULL,NULL,NULL,NULL,0,NULL
Marsons Ltd,MARSONS,Heavy Electrical Equipments,40.73,3.32,-31.57,-56.24,NULL,1.62,-1.29,0,0,0,0,-21.38,NULL,0,NULL
Dr Habeebullah Life Sciences Ltd,SAMSRITA,Labs & Life Sciences Services,40.7,28,27.32,8.39,NULL,1.93,1.5,0.01,0,0,0,0,NULL,0,NULL
Vadivarhe Speciality Chemicals Ltd,VSCL,Specialty Chemicals,40.65,31.8,-4.23,-9.32,NULL,22.12,-9.6,0,0,0,0,0,NULL,0,NULL
Jakharia Fabric Ltd,JAKHARIA,Textiles,40.64,100,-2.81,-0.59,NULL,75.42,-13.66,0.82,NULL,NULL,NULL,NULL,NULL,0,NULL
Shree Pacetronix Ltd,SHREEPAC,Health Care Equipment & Supplies,40.63,112.95,52.09,5.88,NULL,9.3,1.06,0.28,0,0,0,0,NULL,0,NULL
Gujarat Poly Electronics Ltd,GUJARATPOLY,NULL,40.38,47.2,24.62,4.65,NULL,15.46,1.64,0,0,0,0,-0.85,NULL,0,NULL
Alfavision Overseas (India) Ltd,ALFAVIO,NULL,40.36,13.45,20.08,41.94,NULL,182.8,2.08,0.07,0,0,0,0,NULL,0,NULL
HB Stockholdings Ltd,HBSL,Investment Banking & Brokerage,40.34,56.55,2.66,3.14,NULL,17.72,15.73,0.54,0,0,0,0,NULL,0,NULL
Hariyana Ship Breakers Ltd,HRYNSHP,Commodities Trading,40.34,65.45,21.92,-9.94,NULL,176.72,4.08,2.24,0,0,0,0,NULL,0,NULL
Addi Industries Ltd,ADDIND,NULL,40.3,38.85,1.08,95.25,NULL,48.81,45.77,8.38,0,0,0,0,NULL,0,NULL
Sona Hi Sona Jewellers (Gujarat) Ltd,SONAHISONA,"Precious Metals, Jewellery & Watches",40.28,24,447.61,7.16,NULL,76.98,0.13,0.04,NULL,NULL,NULL,NULL,NULL,0,NULL
Baroda Extrusion Ltd,BAROEXT,Industrial Machinery,40.07,2.69,29.04,50.13,NULL,108.15,1.4,0.02,0,0,0,0,NULL,0,NULL
